CSA,CSB,AUT,CSI,MFL,MDS,SDM,RAY,EPS,COM,EED,ANG,STA
14.00,11.14,13.29,12.00,12.77,11.65,16.31,10.28,15.00,13.00,17.50,11.50,17.00
9.60,11.61,14.64,12.00,13.73,10.38,15.42,11.56,18.00,15.50,16.50,14.62,16.79
10.80,11.71,13.79,14.20,10.35,13.12,14.96,13.22,14.00,16.00,13.50,13.50,16.00
11.40,11.00,12.36,13.80,13.69,10.31,15.19,8.56,16.50,15.00,10.00,16.70,17.25
10.80,16.36,12.36,15.60,13.38,12.81,13.92,8.89,15.00,15.00,10.00,13.37,
7.00,13.86,10.93,15.60,11.38,12.50,12.96,12.33,15.00,16.50,13.50,17.14,17.00
10.80,14.32,11.57,15.10,11.42,10.04,15.81,11.22,13.50,16.00,12.00,14.58,16.00
13.40,12.18,11.71,12.00,11.38,12.73,13.19,9.39,15.00,16.50,12.00,16.80,16.25
12.80,10.43,15.43,12.00,9.73,11.96,14.62,11.56,14.00,15.00,15.00,14.82,16.50
10.60,11.89,13.14,15.50,12.15,11.15,13.35,9.00,15.00,16.00,13.00,14.37,17.00
11.20,13.29,14.64,14.20,11.69,12.46,14.62,8.11,14.00,16.00,15.00,12.81,
7.60,11.43,13.36,15.10,8.35,15.38,15.77,11.56,12.00,17.00,15.00,15.34,
11.20,11.46,10.64,15.50,10.81,11.81,13.23,15.16,13.50,15.00,17.00,13.56,16.10
17.40,11.36,12.50,12.90,12.77,11.00,10.31,9.11,13.50,17.00,13.00,11.60,17.50
14.20,11.43,12.43,15.50,8.42,12.77,13.88,8.17,16.00,16.00,11.50,13.25,16.00
8.60,11.57,12.71,13.40,11.23,12.62,13.04,16.61,14.00,16.50,14.50,14.87,16.00
11.00,12.86,13.29,13.80,13.50,12.69,13.00,8.72,13.50,17.00,6.50,14.78,15.50
10.80,16.00,13.79,12.00,12.73,10.31,13.08,8.67,14.00,16.50,8.50,16.95,
7.40,15.00,10.07,12.90,14.00,10.77,12.27,13.78,16.50,15.50,15.00,14.12,17.00
5.80,11.00,13.21,15.50,10.19,11.96,16.88,8.89,15.50,16.50,13.50,14.28,17.25
9.00,10.96,11.71,12.90,12.23,11.85,13.08,10.72,12.00,15.50,17.50,17.00,16.00
7.60,13.57,12.14,16.80,8.58,11.15,14.23,12.17,15.50,15.50,14.00,14.50,
12.20,13.29,13.86,15.50,13.46,7.85,13.88,10.00,15.50,12.00,16.00,9.09,15.00
10.20,11.61,10.29,14.20,8.58,10.73,13.12,10.56,18.00,16.00,16.00,16.10,
10.60,12.46,11.00,15.60,8.85,10.85,11.31,8.06,15.00,15.50,16.50,16.72,
10.00,14.43,12.86,13.40,14.46,12.23,13.31,11.50,13.00,15.00,12.00,12.30,
10.40,12.36,12.57,12.00,8.96,11.77,16.19,9.66,15.00,16.00,14.00,12.00,16.50
13.80,12.00,13.43,12.00,9.38,11.35,12.54,11.67,15.00,16.00,15.50,10.10,16.55
11.00,12.43,9.21,14.20,10.23,11.88,13.96,12.83,14.50,16.00,13.00,13.25,16.00
10.20,11.57,11.00,16.30,11.31,11.65,10.77,10.33,14.00,15.00,13.00,14.55,16.20
